time_s,frequency_hz,P_load,P_wind,P_net_load,P_set,P_cmd,P_valve,P_mech
16915.0,50.19039609767246,0.5034687348772925,0.3000187707859337,0.2034499640913588,0.17101249510444042,0.10183825274163191,0.14774170567658976,0.21179761390382357
16920.0,49.97050648821657,0.4997245002927144,0.29614016882139316,0.20358433147132127,0.17234176942952514,0.16647012489590635,0.13359361534522976,0.1915095792251095
16925.0,49.87676916061399,0.5019214811989255,0.30929478392000986,0.19262669727891568,0.1731696083475607,0.22011970150051877,0.20347831503419764,0.18863962280025529
16930.0,50.0815230831106,0.49922234040040575,0.31442636355964465,0.1847959768407611,0.17364408675761742,0.1458394342330688,0.16868062353910684,0.18954941597077307
16935.0,49.98148143325499,0.49984958940194496,0.3129369229419063,0.18691266646003868,0.17418558469866385,0.17443224306984323,0.16060224417475624,0.1818877957127031
16940.0,49.953956017948926,0.49921048148468244,0.31687371144781823,0.18233677003686422,0.17451823899751984,0.19240410334723917,0.18703013099683904,0.18107026688988118
16945.0,50.15034949558663,0.49516053113378583,0.32185913756025836,0.17330139357352747,0.17446857887515244,0.11577418315294771,0.13629956096892087,0.17724789511835035
16950.0,49.927918151569514,0.4927105542785359,0.3158274764620662,0.17688307781646967,0.17456711588775703,0.1938735074651191,0.16524593775173038,0.1692493147812203
16955.0,49.665535300844525,0.4954697173594193,0.30783360093512296,0.18763611642429634,0.1751004688946942,0.3139506031468123,0.2882115620423784,0.18423858792463968
16960.0,50.161045870150126,0.49895315875512064,0.31493540095035244,0.1840177578047682,0.17546438829622898,0.13049605152007526,0.19522659454470018,0.19988118254230333
16965.0,50.268460825008354,0.492385003069245,0.31017739410025064,0.18220760896899435,0.17573958279271745,0.05717077254156404,0.06544610824305722,0.180306913308084
16970.0,49.872631480465856,0.4918400083098289,0.3143563620954538,0.17748364621437507,0.1758107589677914,0.20863547896617346,0.15273024451476822,0.16315652874376363
16975.0,49.70782913235367,0.4977203485005474,0.31764162226901665,0.18007872623153076,0.17598493702886506,0.3014775125144341,0.28548534764940986,0.17984105735617825
16980.0,50.12086396057954,0.49146834272704915,0.3093822934804296,0.18208604924661953,0.1762339267307097,0.1458906650494568,0.20237438229079577,0.19620483811607575
16985.0,50.11849301906207,0.4998450356413324,0.31248594488163456,0.18735909075969787,0.17668795071448257,0.11986519153237693,0.11846929336963971,0.1836023426287079
16990.0,49.922339315259755,0.4970469157750029,0.31519297118042927,0.1818539445945736,0.17689877772929996,0.19895978479212822,0.17024346917324254,0.1744486074581436
16995.0,49.80716187843826,0.5066676186716798,0.3214785056975634,0.18518911297411633,0.1772371108113881,0.2592366068248346,0.24807941448569557,0.1844941113455679
17000.0,50.18482655443693,0.5009664566588589,0.3212309527795946,0.17973550387926424,0.1773390715888429,0.1142357295385541,0.16109967736456393,0.1904697667889182
